,original,qiskit,qiskittime,tket,tkettime,parity,paritytime,annealer,annealertime,parityRTannealer,parityRTannealertime,parityRT,parityRTtime,ngadgets,device,nqubits
38,32,32,0.0577939999998307,8,0.21628499999997075,40,0.0525279999999384,30,0.007967000000007829,32,1.5365099999999074,40,0.5139989999997852,1,Singapore,20
39,0,0,0.007438999999976659,0,0.024090000000114742,0,0.006808000000091852,0,0.007430000000113068,2,0.21513000000004467,0,0.06815400000004956,1,Singapore,20
40,40,40,0.06404100000008839,31,0.7339039999999386,46,0.10854300000005423,44,0.019731000000092536,44,2.90227700000014,46,1.0823069999999007,1,Singapore,20
41,0,0,0.007485999999971682,0,0.024149000000079468,0,0.006691000000046188,0,0.007536000000072818,0,0.2152889999999843,0,0.06945700000005672,1,Singapore,20
42,34,33,0.06192000000010012,32,0.7215919999998732,34,0.12574400000016794,34,0.013883000000078027,34,2.7615700000001198,34,1.2598249999998643,1,Singapore,20
43,0,0,0.006799000000000888,0,0.023568000000068423,0,0.006039999999984502,4,0.006919000000152664,0,0.1975680000000466,0,0.06113200000004326,1,Singapore,20
44,34,34,0.06288599999993494,23,0.36765300000001844,34,0.06630599999994047,32,0.011482999999998356,36,1.5516949999998815,34,0.6063999999998941,1,Singapore,20
45,32,32,0.058033000000023094,27,0.47380500000008396,32,0.08766400000013164,28,0.01203099999997903,34,1.9103910000001179,32,0.8742030000000796,1,Singapore,20
46,44,43,0.07341300000007323,29,0.6216229999999996,48,0.10559100000000399,42,0.016409999999950742,42,2.642597999999907,45,1.0412409999999,1,Singapore,20
47,34,34,0.05636599999979808,30,0.7089639999999235,34,0.12331399999993664,34,0.015206000000034692,38,2.7124200000000656,34,1.2342529999998533,1,Singapore,20
48,32,32,0.05762300000014875,32,0.6635039999998753,32,0.12417800000002899,32,0.016199000000142405,32,2.5869579999998678,32,1.2390530000000126,1,Singapore,20
49,28,27,0.05421700000010787,27,0.5624299999999494,28,0.0871439999998529,28,0.01221199999986311,32,2.0148200000000998,28,0.8736810000000332,1,Singapore,20
50,38,37,0.06615799999985938,30,0.6622590000001765,42,0.10667799999987437,38,0.01660800000013296,36,2.3172369999999773,42,1.0710699999999633,1,Singapore,20
51,26,26,0.04291699999998855,17,0.2896249999998872,26,0.03989599999999882,26,0.00969899999995505,24,0.9894400000000587,25,0.3999149999999645,1,Singapore,20
52,36,36,0.06841499999995904,32,0.595218000000159,38,0.08916999999996733,40,0.016360999999960768,32,2.0442709999999806,40,0.897226000000046,1,Singapore,20
53,36,36,0.06310400000006666,28,0.5980059999999412,36,0.12316000000009808,36,0.016658000000006723,34,2.5273950000000696,35,1.228065000000015,1,Singapore,20
54,0,0,0.007025999999996202,0,0.027434999999968568,0,0.0061130000001412554,2,0.0069320000000061555,4,0.2182709999999588,0,0.06310200000007171,1,Singapore,20
55,30,30,0.05860800000004929,20,0.438338000000158,34,0.05401099999994585,34,0.013490999999930864,34,1.3103069999999661,34,0.49733199999991484,1,Singapore,20
56,40,40,0.057614999999941574,29,0.5748390000001109,40,0.11051999999995132,42,0.013652000000092812,40,2.5263850000001185,40,1.0607689999999366,1,Singapore,20
57,0,0,0.008130999999821142,0,0.03150400000004083,0,0.007695000000012442,4,0.009026999999832697,0,0.23861699999997654,0,0.07972300000005816,1,Singapore,20
58,36,36,0.06159099999990758,22,0.4079550000001291,42,0.052959999999984575,36,0.01234399999998459,38,1.3389300000001185,42,0.5329489999999169,1,Singapore,20
59,26,25,0.052783999999974185,12,0.26000299999986964,28,0.03674200000000383,26,0.009571000000050844,26,0.8369729999999436,28,0.3116459999998824,1,Singapore,20
60,38,37,0.06106399999998757,37,0.8428049999999985,38,0.19518799999991643,42,0.02018099999986589,38,3.8373739999999543,38,1.9394290000000183,1,Singapore,20
61,34,34,0.07070299999986673,32,0.7294939999999315,36,0.1036420000000362,34,0.01478199999996832,32,2.9597459999999955,35,1.0349710000000414,1,Singapore,20
62,0,0,0.0071199999999862484,0,0.0310340000000906,0,0.00628299999993942,2,0.007474000000001979,2,0.20855900000015026,0,0.06499699999994846,1,Singapore,20
63,30,30,0.05185600000004342,20,0.4639280000001236,32,0.051449999999931606,34,0.011612000000013722,28,1.3841150000000653,32,0.5137300000001233,1,Singapore,20
64,24,23,0.04561300000000301,19,0.4354690000000119,24,0.049224999999978536,24,0.010082999999895037,22,1.2251730000000407,23,0.4908859999998185,1,Singapore,20
65,36,36,0.0773020000001452,36,0.7725109999998949,36,0.17072899999993751,36,0.01681800000005751,36,3.530420000000049,36,1.6956350000000384,1,Singapore,20
66,36,36,0.06120299999997769,36,0.7521609999998873,36,0.16685499999994136,36,0.016875000000027285,36,3.353151999999909,36,1.6727579999999307,1,Singapore,20
67,34,34,0.06509500000015578,22,0.5384329999999409,34,0.09055599999987862,30,0.013192000000117332,30,1.965748000000076,32,0.8826619999999821,1,Singapore,20
68,38,38,0.06515699999999924,30,0.6532279999998991,38,0.14454700000010234,38,0.01746400000001813,36,2.9972060000000056,36,1.426825000000008,1,Singapore,20
69,34,33,0.0655859999999393,33,0.7943259999999555,34,0.1449169999998503,34,0.01590600000008635,34,2.98782499999993,34,1.450347999999849,1,Singapore,20
70,32,32,0.05767599999990125,30,0.6903609999999389,34,0.08883900000000722,32,0.01558999999997468,32,2.081730000000107,34,0.885827000000063,1,Singapore,20
71,38,37,0.06992200000013327,37,0.8424540000000889,38,0.19429100000002109,38,0.015817999999853782,38,3.898034999999936,38,1.9413570000001528,1,Singapore,20
72,22,22,0.048446999999896434,17,0.3360689999999522,22,0.032645000000002256,22,0.009037999999918611,24,0.7983329999999569,22,0.3271349999999984,1,Singapore,20
73,38,38,0.06857199999990371,33,0.6956000000000131,38,0.14480800000001182,38,0.018046999999796753,40,3.2682840000002216,37,1.447146999999859,1,Singapore,20
74,38,37,0.06069600000000719,29,0.6323669999997037,40,0.1092279999998027,38,0.015679999999974825,38,2.6624100000003637,38,1.0784049999997478,1,Singapore,20
75,34,34,0.06391400000029535,24,0.5646689999998671,38,0.07392200000003868,30,0.012105999999675987,28,1.682662000000164,35,0.7340770000000703,1,Singapore,20
76,20,20,0.04581999999982145,14,0.34390799999982846,24,0.024597000000085245,20,0.008075999999618944,18,0.6471199999996315,24,0.21486600000025646,1,Singapore,20
77,38,38,0.07746499999984735,38,0.8498549999999341,38,0.19288899999992282,38,0.017656999999871914,38,3.5404350000003433,38,1.9293440000001283,1,Singapore,20
78,0,0,0.008092000000033295,0,0.04943700000012541,0,0.007394999999633001,0,0.00838900000007925,5,0.24639299999989817,0,0.07563399999980902,1,Singapore,20
79,32,31,0.06101600000010876,17,0.2770740000000842,36,0.05643800000007104,28,0.008544000000256347,32,1.3678599999998369,36,0.5400340000001052,1,Singapore,20
80,26,26,0.053809999999884894,14,0.28316799999993236,26,0.040002000000185944,24,0.009299000000282831,26,0.9871969999999237,25,0.3818740000001526,1,Singapore,20
81,22,22,0.0456770000000688,18,0.3625539999998182,22,0.03943699999990713,24,0.008888999999726366,24,1.0076779999999417,22,0.3925170000002254,1,Singapore,20
82,30,30,0.0646390000001702,30,0.61955399999988,30,0.10395699999980934,30,0.012888000000202737,30,2.2617599999998674,30,1.0476619999999457,1,Singapore,20
83,48,47,0.07980799999995725,13,0.34763599999996586,60,0.09285599999975602,44,0.014720000000124855,58,2.1938619999996263,60,0.9210240000002159,1,Singapore,20
84,38,37,0.06920800000034433,21,0.5597170000000915,40,0.10507400000005873,34,0.014716000000134954,36,2.2082659999996395,38,1.0317050000003292,1,Singapore,20
85,28,28,0.04673200000024735,29,0.5811779999999089,32,0.06435599999986152,34,0.013562999999976455,32,1.6601140000002488,31,0.6284599999999045,1,Singapore,20
86,40,40,0.07557700000006662,32,0.5107640000001084,40,0.11903200000006109,40,0.017132999999830645,42,2.544394999999895,40,1.0924230000000534,1,Singapore,20
87,30,29,0.060574000000087835,18,0.3925910000002659,40,0.04257300000017494,32,0.01007099999969796,38,1.112351000000217,37,0.41400400000020454,1,Singapore,20
88,30,30,0.055139000000053784,26,0.5241219999998066,32,0.06137300000000323,30,0.010562999999820022,28,1.6860759999999573,31,0.6135540000000219,1,Singapore,20
89,32,32,0.055920000000242,18,0.3466969999999492,44,0.030234000000291417,34,0.010187999999743624,46,0.8709869999997863,44,0.2853410000002441,1,Singapore,20
90,28,28,0.04797299999972893,15,0.28078299999970113,30,0.0408329999995658,24,0.00979700000016237,30,1.086080999999922,30,0.4080909999997857,1,Singapore,20
91,0,0,0.008417000000008557,0,0.035657999999784806,0,0.008201000000099157,4,0.009504000000106316,0,0.25025300000015704,0,0.08297500000026048,1,Singapore,20
92,38,37,0.08039300000018557,37,0.8990480000002208,38,0.19280799999978626,38,0.01904999999987922,38,3.8364990000000034,38,1.9283980000000156,1,Singapore,20
93,0,0,0.00746900000012829,0,0.038170000000263826,0,0.006698000000142201,2,0.00800200000003315,0,0.21697500000027503,0,0.06748999999990701,1,Singapore,20
94,24,24,0.050948000000062166,14,0.3409740000001875,36,0.019549000000097294,28,0.00973100000010163,36,1.001140999999734,36,0.19349800000009054,1,Singapore,20
95,36,35,0.0627039999999397,11,0.3055939999999282,44,0.04460799999969822,40,0.010668999999779771,36,1.3700950000002194,44,0.4369449999999233,1,Singapore,20
96,30,30,0.06854800000019168,30,0.6025480000002972,30,0.10606800000005023,32,0.014366000000336498,30,2.508835999999974,30,1.0643549999999777,1,Singapore,20
97,34,33,0.06290399999988949,17,0.4362989999999627,36,0.07445400000005975,30,0.010133000000223547,34,1.65644599999996,36,0.7319519999996373,1,Singapore,20
98,40,40,0.06880299999966155,23,0.48030900000003385,52,0.0793429999998807,42,0.013672000000042317,42,1.956203999999616,52,0.7679639999996652,1,Singapore,20
99,24,24,0.0482110000002649,24,0.5635849999998754,24,0.06115100000033635,24,0.01159399999960442,24,1.3027720000000045,24,0.6003580000001421,1,Singapore,20
100,36,36,0.06567499999982829,15,0.28966200000013487,42,0.06265399999983856,32,0.012933999999859225,34,1.4391470000000481,42,0.6241079999999783,1,Johannesburg,20
101,38,37,0.060441999999966356,27,0.5306660000001102,40,0.10571700000036799,38,0.015221999999994296,40,2.3313579999999092,40,1.0590849999998682,1,Johannesburg,20
102,38,38,0.05885499999976673,19,0.3827049999999872,44,0.06434300000000803,34,0.011612999999670137,36,1.7355289999995875,44,0.634708000000046,1,Johannesburg,20
103,34,34,0.06578700000000026,22,0.512192000000141,34,0.08910599999990154,36,0.013395999999829655,36,2.209204000000227,34,0.901524999999765,1,Johannesburg,20
104,36,36,0.07081500000003871,24,0.4795490000001337,36,0.10515200000008917,36,0.01563399999986359,34,2.168916000000081,34,1.0424090000001343,1,Johannesburg,20
105,28,28,0.0528359999998429,20,0.35550300000022617,36,0.03382599999986269,30,0.009997999999995955,36,1.0151350000001003,36,0.32550099999980375,1,Johannesburg,20
106,34,34,0.06581499999992957,23,0.48088499999994383,42,0.06455199999982142,34,0.011174000000210071,36,1.7142929999999978,42,0.6460360000000946,1,Johannesburg,20
107,32,32,0.052277000000231055,20,0.38838399999985995,32,0.0824800000000323,36,0.01202000000012049,32,1.7999089999998432,32,0.7450149999999667,1,Johannesburg,20
108,24,24,0.04609500000015032,12,0.2721659999997428,26,0.03281599999991158,28,0.010600000000067666,24,0.9451500000000124,25,0.3180219999999281,1,Johannesburg,20
109,30,30,0.05653799999981857,16,0.35557699999981196,34,0.04228000000011889,32,0.011641000000054191,32,1.0869539999998779,34,0.4194569999999658,1,Johannesburg,20
110,20,20,0.037079000000176165,12,0.28462100000024293,30,0.014843999999811786,22,0.008496000000377535,32,0.4729739999997946,30,0.1471400000000358,1,Johannesburg,20
111,32,31,0.0559849999999642,31,0.650604999999814,32,0.1266059999998106,34,0.014098000000103639,32,2.994192000000112,32,1.266667999999754,1,Johannesburg,20
112,28,27,0.05483300000014424,22,0.4877979999996569,28,0.058356999999887194,28,0.01026899999988018,28,1.404617999999573,27,0.5846289999999499,1,Johannesburg,20
113,0,0,0.008049000000028173,0,0.06025999999974374,0,0.008117000000311236,2,0.0091019999999844,3,0.25985099999979866,0,0.08300300000018979,1,Johannesburg,20
114,0,0,0.009823999999753141,0,0.04208999999991647,0,0.009236000000328204,2,0.010217000000011467,0,0.2683529999999337,0,0.09237399999983609,1,Johannesburg,20
115,38,37,0.064096999999947,34,0.6546940000002905,38,0.13885500000014872,38,0.017079000000194355,38,3.136572999999771,38,1.2991809999998623,1,Johannesburg,20
116,36,36,0.07253600000012739,26,0.558860999999979,38,0.09078700000009121,40,0.01659799999970346,32,2.258903999999802,37,0.9050569999999425,1,Johannesburg,20
117,30,29,0.06324599999970815,20,0.45276200000034805,30,0.060855000000174186,30,0.012822000000141998,30,1.454902999999831,28,0.5986419999999271,1,Johannesburg,20
118,38,38,0.05458100000032573,38,0.8819279999997889,38,0.20241499999974621,38,0.01640899999983958,38,3.7154029999996965,38,1.9921450000001641,1,Johannesburg,20
119,34,33,0.05621199999995952,32,0.688832000000275,34,0.12390800000002855,38,0.014685000000099535,34,2.6849480000000767,34,1.2685339999998178,1,Johannesburg,20
120,22,21,0.0439049999999952,5,0.18092599999999948,26,0.036035999999967316,22,0.007971999999881518,20,0.9312330000002476,25,0.20875299999988783,1,Johannesburg,20
121,38,38,0.08113300000013624,36,0.7041320000002997,38,0.150836000000254,38,0.021352000000206317,40,3.3974100000000362,38,1.5702409999998963,1,Johannesburg,20
122,0,0,0.007278000000042084,0,0.02027799999996205,0,0.006586999999854015,0,0.006915999999819178,2,0.21130200000015975,0,0.06568299999980809,1,Johannesburg,20
123,16,16,0.03728000000000975,10,0.2571809999999459,20,0.014842999999927997,18,0.007933999999750085,20,0.4555289999998422,20,0.14314100000001417,1,Johannesburg,20
124,34,34,0.07061000000021522,34,0.7049459999998362,34,0.14477399999987028,34,0.01854800000000978,34,3.2955870000000687,34,1.5100649999999405,1,Johannesburg,20
125,22,22,0.044065000000045984,6,0.11342000000013286,24,0.027485000000069704,26,0.00889599999982238,24,0.9232180000003609,24,0.2867909999999938,1,Johannesburg,20
126,16,16,0.026240000000143482,11,0.19958600000018123,18,0.020266999999876134,18,0.007503000000269822,18,0.5924749999999221,18,0.17321799999990617,1,Johannesburg,20
127,28,28,0.058888999999908265,15,0.3093220000000656,28,0.045446000000083586,30,0.011289000000033411,26,1.3124099999999999,27,0.42433600000003935,1,Johannesburg,20
128,0,0,0.007446999999956461,0,0.03204700000014782,0,0.006504999999833672,2,0.00720099999989543,0,0.20816699999977573,0,0.06354599999986021,1,Johannesburg,20
129,38,38,0.055340000000342116,38,0.786630999999943,38,0.20270800000025702,38,0.019628000000011525,38,4.12139900000011,38,2.075217000000066,1,Johannesburg,20
130,34,33,0.06154599999990751,24,0.5134530000000268,34,0.08925700000008874,34,0.01591599999983373,34,2.1662139999998544,34,0.9009670000000369,1,Johannesburg,20
131,0,0,0.007674999999835563,0,0.03930799999989176,0,0.006819000000177766,0,0.00771500000018932,2,0.22794500000009066,0,0.07217499999978827,1,Johannesburg,20
132,34,34,0.054235999999946216,34,0.7162700000003497,34,0.14388999999982843,34,0.0173890000000938,34,3.310675000000174,34,1.4442869999998038,1,Johannesburg,20
133,34,34,0.06246000000010099,10,0.24757399999998597,40,0.056912999999894964,34,0.010692999999719177,36,1.4423719999999776,40,0.5330920000001242,1,Johannesburg,20
134,38,38,0.08039700000017547,37,0.756452999999965,38,0.1724850000000515,38,0.016583000000082393,38,3.6921549999997296,38,1.7525510000000395,1,Johannesburg,20
135,0,0,0.006969999999910215,0,0.02418900000020585,0,0.0062579999998888525,2,0.006824999999935244,2,0.2011499999998705,0,0.06058599999960279,1,Johannesburg,20
136,26,25,0.053748999999697844,21,0.5357940000003509,26,0.06398300000000745,26,0.011860000000069704,26,1.5046079999997346,25,0.6226809999998295,1,Johannesburg,20
137,32,32,0.06798200000002907,28,0.5816810000001169,32,0.10819200000014462,32,0.015799999999671854,36,2.4984159999999065,32,1.076430000000073,1,Johannesburg,20
138,28,28,0.052963999999974476,14,0.3372679999997672,38,0.05216499999960433,28,0.008744000000206142,40,1.1727200000000266,38,0.4401129999996556,1,Johannesburg,20
139,36,36,0.056819000000359665,20,0.45322699999996985,38,0.0936810000002879,36,0.016277000000172848,38,2.239114999999856,38,0.963528000000224,1,Johannesburg,20
